ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,CODE
11,26,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90.0,172.0,30.0,4,01f24c09-f621-49cd-bb52-3431e1cc7e87
36,0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98.0,178.0,31.0,0,04480643-e3e8-474c-8da1-ffdd38a0bdcf
3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89.0,170.0,31.0,2,05fb88cc-9e2e-493d-8dfe-f14de9dec789
7,7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68.0,168.0,24.0,4,06e0f47b-b4a9-4173-83d9-367cfc03659d
11,23,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90.0,172.0,30.0,2,08a0ed0c-55b4-4f1f-a958-275219195fc0
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89.0,170.0,31.0,2,0b53e1e8-5903-4976-8022-d1e3b19a6ead
10,22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80.0,172.0,27.0,8,0c9e97d9-efd1-4be3-9daf-bb6aafe2f6d6
20,23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65.0,168.0,23.0,4,0eb882fc-2033-443e-bfe5-bd19852c5d20
14,19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95.0,196.0,25.0,40,0fe0e93d-828c-4bc1-8e2e-1111df2d4db4
1,22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88.0,172.0,29.0,8,10f02040-1b25-4f3c-a292-b87c2625a1c0
20,1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65.0,168.0,23.0,8,12bffd29-a642-4022-acbc-c87bb7c99e02
20,1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65.0,168.0,23.0,8,14b763ee-b111-425c-a91d-52746ef55149
20,11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65.0,168.0,23.0,8,1671decd-bc43-4ab7-9253-54ecf5d433c8
3,11,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89.0,170.0,31.0,1,18dc2c01-41b8-40af-a14a-033d341a211a
3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89.0,170.0,31.0,4,1acda264-79aa-4f16-90fe-db9bc4335160
24,14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67.0,170.0,23.0,8,1c502646-5a91-47e5-9ea4-53255893b122
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89.0,170.0,31.0,2,1e3fea08-1378-4d10-a9c5-e4cd1e11ac55
3,21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89.0,170.0,31.0,8,1f85aa2c-6b10-4638-a237-5156cfe1905d
6,11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69.0,167.0,25.0,8,20d52492-442f-4783-b7f2-3bac0ea6eab1
33,23,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86.0,165.0,32.0,2,2346b7ad-e937-453f-b6e0-80e5952c23cf
